event,arg,line,offset,opcode,locals
call,,1,-1,<0>,"{'s': 'aa', 'p': 'a*'}"
line,,2,0,LOAD_CONST,"{'s': 'aa', 'p': 'a*'}"
opcode,,2,0,LOAD_CONST,"{'s': 'aa', 'p': 'a*'}"
opcode,,2,2,LOAD_FAST,"{'s': 'aa', 'p': 'a*'}"
opcode,,2,4,BINARY_ADD,"{'s': 'aa', 'p': 'a*'}"
opcode,,2,6,LOAD_CONST,"{'s': 'aa', 'p': 'a*'}"
opcode,,2,8,LOAD_FAST,"{'s': 'aa', 'p': 'a*'}"
opcode,,2,10,BINARY_ADD,"{'s': 'aa', 'p': 'a*'}"
opcode,,2,12,ROT_TWO,"{'s': 'aa', 'p': 'a*'}"
opcode,,2,14,STORE_FAST,"{'s': 'aa', 'p': 'a*'}"
opcode,,2,16,STORE_FAST,"{'s': ' aa', 'p': 'a*'}"
line,,3,18,LOAD_GLOBAL,"{'s': ' aa', 'p': ' a*'}"
opcode,,3,18,LOAD_GLOBAL,"{'s': ' aa', 'p': ' a*'}"
opcode,,3,20,LOAD_FAST,"{'s': ' aa', 'p': ' a*'}"
opcode,,3,22,CALL_FUNCTION,"{'s': ' aa', 'p': ' a*'}"
opcode,,3,24,LOAD_GLOBAL,"{'s': ' aa', 'p': ' a*'}"
opcode,,3,26,LOAD_FAST,"{'s': ' aa', 'p': ' a*'}"
opcode,,3,28,CALL_FUNCTION,"{'s': ' aa', 'p': ' a*'}"
opcode,,3,30,ROT_TWO,"{'s': ' aa', 'p': ' a*'}"
opcode,,3,32,STORE_FAST,"{'s': ' aa', 'p': ' a*'}"
opcode,,3,34,STORE_DEREF,"{'s': ' aa', 'p': ' a*', 'lenS': 3}"
line,,4,36,LOAD_CLOSURE,"{'s': ' aa', 'p': ' a*', 'lenS': 3, 'lenP': 3}"
opcode,,4,36,LOAD_CLOSURE,"{'s': ' aa', 'p': ' a*', 'lenS': 3, 'lenP': 3}"
opcode,,4,38,BUILD_TUPLE,"{'s': ' aa', 'p': ' a*', 'lenS': 3, 'lenP': 3}"
opcode,,4,40,LOAD_CONST,"{'s': ' aa', 'p': ' a*', 'lenS': 3, 'lenP': 3}"
opcode,,4,42,LOAD_CONST,"{'s': ' aa', 'p': ' a*', 'lenS': 3, 'lenP': 3}"
opcode,,4,44,MAKE_FUNCTION,"{'s': ' aa', 'p': ' a*', 'lenS': 3, 'lenP': 3}"
opcode,,4,46,LOAD_GLOBAL,"{'s': ' aa', 'p': ' a*', 'lenS': 3, 'lenP': 3}"
opcode,,4,48,LOAD_FAST,"{'s': ' aa', 'p': ' a*', 'lenS': 3, 'lenP': 3}"
opcode,,4,50,CALL_FUNCTION,"{'s': ' aa', 'p': ' a*', 'lenS': 3, 'lenP': 3}"
opcode,,4,52,GET_ITER,"{'s': ' aa', 'p': ' a*', 'lenS': 3, 'lenP': 3}"
opcode,,4,54,CALL_FUNCTION,"{'s': ' aa', 'p': ' a*', 'lenS': 3, 'lenP': 3}"
call,,4,-1,<0>,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3}"
line,,4,0,BUILD_LIST,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3}"
opcode,,4,0,BUILD_LIST,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3}"
opcode,,4,2,LOAD_FAST,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3}"
opcode,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3}"
opcode,,4,6,STORE_FAST,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3}"
opcode,,4,8,LOAD_CONST,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 0}"
opcode,,4,10,BUILD_LIST,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 0}"
opcode,,4,12,LOAD_DEREF,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 0}"
opcode,,4,14,BINARY_MULTIPLY,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 0}"
opcode,,4,16,LIST_APPEND,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 0}"
opcode,,4,18,JUMP_ABSOLUTE,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 0}"
line,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 0}"
opcode,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 0}"
opcode,,4,6,STORE_FAST,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 0}"
opcode,,4,8,LOAD_CONST,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 1}"
opcode,,4,10,BUILD_LIST,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 1}"
opcode,,4,12,LOAD_DEREF,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 1}"
opcode,,4,14,BINARY_MULTIPLY,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 1}"
opcode,,4,16,LIST_APPEND,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 1}"
opcode,,4,18,JUMP_ABSOLUTE,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 1}"
line,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 1}"
opcode,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 1}"
opcode,,4,6,STORE_FAST,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 1}"
opcode,,4,8,LOAD_CONST,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 2}"
opcode,,4,10,BUILD_LIST,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 2}"
opcode,,4,12,LOAD_DEREF,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 2}"
opcode,,4,14,BINARY_MULTIPLY,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 2}"
opcode,,4,16,LIST_APPEND,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 2}"
opcode,,4,18,JUMP_ABSOLUTE,"{'.0': <range_iterator object at 0x7f7f9819af00>, 'lenP': 3, 'i': 2}"
