event,arg,line,offset,opcode,locals
call,,2,-1,<0>,"{'functionCallString': '\ndef test(j):\n    n = 10\n    for i in range(1, n):\n        j = i + j\n    return j\n\ntest(1)\n', 'f': <_io.TextIOWrapper name='algoData.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fe47898e7c0>}"
line,,2,0,LOAD_CONST,"{'functionCallString': '\ndef test(j):\n    n = 10\n    for i in range(1, n):\n        j = i + j\n    return j\n\ntest(1)\n', 'f': <_io.TextIOWrapper name='algoData.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fe47898e7c0>}"
opcode,,2,0,LOAD_CONST,"{'functionCallString': '\ndef test(j):\n    n = 10\n    for i in range(1, n):\n        j = i + j\n    return j\n\ntest(1)\n', 'f': <_io.TextIOWrapper name='algoData.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fe47898e7c0>}"
opcode,,2,2,LOAD_CONST,"{'functionCallString': '\ndef test(j):\n    n = 10\n    for i in range(1, n):\n        j = i + j\n    return j\n\ntest(1)\n', 'f': <_io.TextIOWrapper name='algoData.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fe47898e7c0>}"
opcode,,2,4,MAKE_FUNCTION,"{'functionCallString': '\ndef test(j):\n    n = 10\n    for i in range(1, n):\n        j = i + j\n    return j\n\ntest(1)\n', 'f': <_io.TextIOWrapper name='algoData.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fe47898e7c0>}"
opcode,,2,6,STORE_NAME,"{'functionCallString': '\ndef test(j):\n    n = 10\n    for i in range(1, n):\n        j = i + j\n    return j\n\ntest(1)\n', 'f': <_io.TextIOWrapper name='algoData.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fe47898e7c0>}"
line,,8,8,LOAD_NAME,"{'functionCallString': '\ndef test(j):\n    n = 10\n    for i in range(1, n):\n        j = i + j\n    return j\n\ntest(1)\n', 'f': <_io.TextIOWrapper name='algoData.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fe47898e7c0>, 'test': <function test at 0x7fe47898a430>}"
opcode,,8,8,LOAD_NAME,"{'functionCallString': '\ndef test(j):\n    n = 10\n    for i in range(1, n):\n        j = i + j\n    return j\n\ntest(1)\n', 'f': <_io.TextIOWrapper name='algoData.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fe47898e7c0>, 'test': <function test at 0x7fe47898a430>}"
opcode,,8,10,LOAD_CONST,"{'functionCallString': '\ndef test(j):\n    n = 10\n    for i in range(1, n):\n        j = i + j\n    return j\n\ntest(1)\n', 'f': <_io.TextIOWrapper name='algoData.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fe47898e7c0>, 'test': <function test at 0x7fe47898a430>}"
opcode,,8,12,CALL_FUNCTION,"{'functionCallString': '\ndef test(j):\n    n = 10\n    for i in range(1, n):\n        j = i + j\n    return j\n\ntest(1)\n', 'f': <_io.TextIOWrapper name='algoData.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fe47898e7c0>, 'test': <function test at 0x7fe47898a430>}"
