event,arg,line,lasti,opcode,localObjects
call,,31,-1,<0>,{}
line,,34,0,LOAD_GLOBAL,{}
opcode,,34,0,LOAD_GLOBAL,{}
opcode,,34,2,LOAD_GLOBAL,{}
opcode,,34,4,LOAD_GLOBAL,{}
opcode,,34,6,CALL_FUNCTION,{}
opcode,,34,8,CALL_FUNCTION,{}
opcode,,34,10,CALL_FUNCTION,{}
opcode,,34,12,GET_ITER,{}
opcode,,34,14,FOR_ITER,{}
opcode,,34,16,STORE_FAST,{}
line,,35,18,LOAD_GLOBAL,"{""_t"": ""0""}"
opcode,,35,18,LOAD_GLOBAL,"{""_t"": ""0""}"
opcode,,35,20,LOAD_GLOBAL,"{""_t"": ""0""}"
opcode,,35,22,LOAD_GLOBAL,"{""_t"": ""0""}"
opcode,,35,24,CALL_FUNCTION,"{""_t"": ""0""}"
opcode,,35,26,LOAD_METHOD,"{""_t"": ""0""}"
opcode,,35,28,LOAD_CONST,"{""_t"": ""0""}"
opcode,,35,30,CALL_METHOD,"{""_t"": ""0""}"
opcode,,35,32,CALL_FUNCTION,"{""_t"": ""0""}"
opcode,,35,34,UNPACK_SEQUENCE,"{""_t"": ""0""}"
opcode,,35,36,STORE_FAST,"{""_t"": ""0""}"
opcode,,35,38,STORE_FAST,"{""_t"": ""0"", ""n"": ""1""}"
line,,36,40,BUILD_LIST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1""}"
opcode,,36,40,BUILD_LIST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1""}"
opcode,,36,42,STORE_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1""}"
line,,37,44,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]""}"
opcode,,37,44,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]""}"
opcode,,37,46,LOAD_CONST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]""}"
opcode,,37,48,COMPARE_OP,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]""}"
opcode,,37,50,POP_JUMP_IF_FALSE,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]""}"
line,,40,70,LOAD_GLOBAL,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]""}"
opcode,,40,70,LOAD_GLOBAL,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]""}"
opcode,,40,72,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]""}"
opcode,,40,74,CALL_FUNCTION,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]""}"
opcode,,40,76,GET_ITER,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]""}"
opcode,,40,78,FOR_ITER,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]""}"
opcode,,40,80,STORE_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]""}"
line,,41,82,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]"", ""i"": ""0""}"
opcode,,41,82,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]"", ""i"": ""0""}"
opcode,,41,84,LOAD_METHOD,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]"", ""i"": ""0""}"
opcode,,41,86,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]"", ""i"": ""0""}"
opcode,,41,88,LOAD_CONST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]"", ""i"": ""0""}"
opcode,,41,90,BINARY_ADD,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]"", ""i"": ""0""}"
opcode,,41,92,CALL_METHOD,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]"", ""i"": ""0""}"
opcode,,41,94,POP_TOP,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0""}"
opcode,,41,96,JUMP_ABSOLUTE,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0""}"
line,,40,78,FOR_ITER,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0""}"
opcode,,40,78,FOR_ITER,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0""}"
line,,42,98,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0""}"
opcode,,42,98,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0""}"
opcode,,42,100,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0""}"
opcode,,42,102,BINARY_SUBTRACT,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0""}"
opcode,,42,104,STORE_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0""}"
line,,43,106,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,106,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,108,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,110,LOAD_CONST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,112,BINARY_SUBTRACT,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,114,BINARY_SUBSCR,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,116,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,118,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,120,LOAD_CONST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,122,BINARY_SUBTRACT,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,124,BINARY_SUBSCR,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,126,ROT_TWO,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,128,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,130,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,132,LOAD_CONST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,134,BINARY_SUBTRACT,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,136,STORE_SUBSCR,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,138,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,140,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,142,LOAD_CONST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,144,BINARY_SUBTRACT,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,43,146,STORE_SUBSCR,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
line,,44,148,LOAD_CONST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,44,148,LOAD_CONST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
opcode,,44,150,STORE_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0""}"
line,,45,152,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": """"}"
opcode,,45,152,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": """"}"
opcode,,45,154,GET_ITER,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": """"}"
opcode,,45,156,FOR_ITER,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": """"}"
opcode,,45,158,STORE_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": """"}"
line,,46,160,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": """", ""_x"": ""1""}"
opcode,,46,160,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": """", ""_x"": ""1""}"
opcode,,46,162,LOAD_GLOBAL,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": """", ""_x"": ""1""}"
opcode,,46,164,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": """", ""_x"": ""1""}"
opcode,,46,166,CALL_FUNCTION,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": """", ""_x"": ""1""}"
opcode,,46,168,LOAD_CONST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": """", ""_x"": ""1""}"
opcode,,46,170,BINARY_ADD,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": """", ""_x"": ""1""}"
opcode,,46,172,INPLACE_ADD,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": """", ""_x"": ""1""}"
opcode,,46,174,STORE_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": """", ""_x"": ""1""}"
opcode,,46,176,JUMP_ABSOLUTE,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
line,,45,156,FOR_ITER,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,45,156,FOR_ITER,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
line,,47,178,LOAD_GLOBAL,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,47,178,LOAD_GLOBAL,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,47,180,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,47,182,LOAD_CONST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,47,184,LOAD_GLOBAL,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,47,186,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,47,188,CALL_FUNCTION,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,47,190,LOAD_CONST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,47,192,BINARY_SUBTRACT,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
opcode,,47,194,BUILD_SLICE,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[1]"", ""i"": ""0"", ""dis"": ""0"", ""output"": ""1 "", ""_x"": ""1""}"
