event,arg,line,lasti,opcode,localObjects
call,,32,-1,<0>,{}
line,,33,0,LOAD_GLOBAL,{}
opcode,,33,0,LOAD_GLOBAL,{}
opcode,,33,2,LOAD_GLOBAL,{}
opcode,,33,4,LOAD_GLOBAL,{}
opcode,,33,6,CALL_FUNCTION,{}
opcode,,33,8,CALL_FUNCTION,{}
opcode,,33,10,CALL_FUNCTION,{}
opcode,,33,12,GET_ITER,{}
opcode,,33,14,FOR_ITER,{}
opcode,,33,16,STORE_FAST,{}
line,,34,18,LOAD_GLOBAL,"{""_"": ""0""}"
opcode,,34,18,LOAD_GLOBAL,"{""_"": ""0""}"
opcode,,34,20,LOAD_GLOBAL,"{""_"": ""0""}"
opcode,,34,22,CALL_FUNCTION,"{""_"": ""0""}"
opcode,,34,24,CALL_FUNCTION,"{""_"": ""0""}"
opcode,,34,26,STORE_FAST,"{""_"": ""0""}"
line,,35,28,BUILD_LIST,"{""_"": ""0"", ""n"": ""3""}"
opcode,,35,28,BUILD_LIST,"{""_"": ""0"", ""n"": ""3""}"
opcode,,35,30,STORE_FAST,"{""_"": ""0"", ""n"": ""3""}"
line,,36,32,LOAD_GLOBAL,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]""}"
opcode,,36,32,LOAD_GLOBAL,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]""}"
opcode,,36,34,LOAD_FAST,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]""}"
opcode,,36,36,CALL_FUNCTION,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]""}"
opcode,,36,38,GET_ITER,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]""}"
opcode,,36,40,FOR_ITER,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]""}"
opcode,,36,42,STORE_FAST,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]""}"
line,,37,44,LOAD_FAST,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]"", ""i"": ""0""}"
opcode,,37,44,LOAD_FAST,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]"", ""i"": ""0""}"
opcode,,37,46,LOAD_METHOD,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]"", ""i"": ""0""}"
opcode,,37,48,LOAD_GLOBAL,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]"", ""i"": ""0""}"
opcode,,37,50,LOAD_GLOBAL,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]"", ""i"": ""0""}"
opcode,,37,52,LOAD_GLOBAL,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]"", ""i"": ""0""}"
opcode,,37,54,LOAD_GLOBAL,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]"", ""i"": ""0""}"
opcode,,37,56,CALL_FUNCTION,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]"", ""i"": ""0""}"
opcode,,37,58,LOAD_METHOD,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]"", ""i"": ""0""}"
opcode,,37,60,CALL_METHOD,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]"", ""i"": ""0""}"
opcode,,37,62,CALL_FUNCTION,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]"", ""i"": ""0""}"
opcode,,37,64,CALL_FUNCTION,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]"", ""i"": ""0""}"
opcode,,37,66,CALL_METHOD,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[]"", ""i"": ""0""}"
opcode,,37,68,POP_TOP,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5]]"", ""i"": ""0""}"
opcode,,37,70,JUMP_ABSOLUTE,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5]]"", ""i"": ""0""}"
line,,36,40,FOR_ITER,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5]]"", ""i"": ""0""}"
opcode,,36,40,FOR_ITER,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5]]"", ""i"": ""0""}"
opcode,,36,42,STORE_FAST,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5]]"", ""i"": ""0""}"
line,,37,44,LOAD_FAST,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5]]"", ""i"": ""1""}"
opcode,,37,44,LOAD_FAST,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5]]"", ""i"": ""1""}"
opcode,,37,46,LOAD_METHOD,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5]]"", ""i"": ""1""}"
opcode,,37,48,LOAD_GLOBAL,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5]]"", ""i"": ""1""}"
opcode,,37,50,LOAD_GLOBAL,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5]]"", ""i"": ""1""}"
opcode,,37,52,LOAD_GLOBAL,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5]]"", ""i"": ""1""}"
opcode,,37,54,LOAD_GLOBAL,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5]]"", ""i"": ""1""}"
opcode,,37,56,CALL_FUNCTION,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5]]"", ""i"": ""1""}"
opcode,,37,58,LOAD_METHOD,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5]]"", ""i"": ""1""}"
opcode,,37,60,CALL_METHOD,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5]]"", ""i"": ""1""}"
opcode,,37,62,CALL_FUNCTION,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5]]"", ""i"": ""1""}"
opcode,,37,64,CALL_FUNCTION,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5]]"", ""i"": ""1""}"
opcode,,37,66,CALL_METHOD,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5]]"", ""i"": ""1""}"
opcode,,37,68,POP_TOP,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5], [6, 3, 4]]"", ""i"": ""1""}"
opcode,,37,70,JUMP_ABSOLUTE,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5], [6, 3, 4]]"", ""i"": ""1""}"
line,,36,40,FOR_ITER,"{""_"": ""0"", ""n"": ""3"", ""a"": ""[[1, 2, 5], [6, 3, 4]]"", ""i"": ""1""}"
