event,arg,line,offset,opcode,locals
call,,1,-1,<0>,"{'functionCallString': ""class Solution:\n    def isMatch(self, s, p):\n        if not p: return not s\n        if not s: return len(p) > 1 and p[1] == '*' and self.isMatch(s, p[2:])\n        Matched = (p[0] == '.' or p[0] == s[0])\n        if len(p) > 1 and p[1] == '*':\n            return (Matched and self.isMatch(s[1:], p)) or self.isMatch(s, p[2:])\n        return Matched and self.isMatch(s[1:], p[1:])\n\nsolution = Solution()\nsolution.isMatch('aaa', 'ab*')"", 'f': <_io.TextIOWrapper name='algoData1dd3ba72-7819-487c-beae-706bd668b5f7.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7ff7084548b0>}"
line,,1,0,LOAD_BUILD_CLASS,"{'functionCallString': ""class Solution:\n    def isMatch(self, s, p):\n        if not p: return not s\n        if not s: return len(p) > 1 and p[1] == '*' and self.isMatch(s, p[2:])\n        Matched = (p[0] == '.' or p[0] == s[0])\n        if len(p) > 1 and p[1] == '*':\n            return (Matched and self.isMatch(s[1:], p)) or self.isMatch(s, p[2:])\n        return Matched and self.isMatch(s[1:], p[1:])\n\nsolution = Solution()\nsolution.isMatch('aaa', 'ab*')"", 'f': <_io.TextIOWrapper name='algoData1dd3ba72-7819-487c-beae-706bd668b5f7.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7ff7084548b0>}"
opcode,,1,0,LOAD_BUILD_CLASS,"{'functionCallString': ""class Solution:\n    def isMatch(self, s, p):\n        if not p: return not s\n        if not s: return len(p) > 1 and p[1] == '*' and self.isMatch(s, p[2:])\n        Matched = (p[0] == '.' or p[0] == s[0])\n        if len(p) > 1 and p[1] == '*':\n            return (Matched and self.isMatch(s[1:], p)) or self.isMatch(s, p[2:])\n        return Matched and self.isMatch(s[1:], p[1:])\n\nsolution = Solution()\nsolution.isMatch('aaa', 'ab*')"", 'f': <_io.TextIOWrapper name='algoData1dd3ba72-7819-487c-beae-706bd668b5f7.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7ff7084548b0>}"
opcode,,1,2,LOAD_CONST,"{'functionCallString': ""class Solution:\n    def isMatch(self, s, p):\n        if not p: return not s\n        if not s: return len(p) > 1 and p[1] == '*' and self.isMatch(s, p[2:])\n        Matched = (p[0] == '.' or p[0] == s[0])\n        if len(p) > 1 and p[1] == '*':\n            return (Matched and self.isMatch(s[1:], p)) or self.isMatch(s, p[2:])\n        return Matched and self.isMatch(s[1:], p[1:])\n\nsolution = Solution()\nsolution.isMatch('aaa', 'ab*')"", 'f': <_io.TextIOWrapper name='algoData1dd3ba72-7819-487c-beae-706bd668b5f7.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7ff7084548b0>}"
opcode,,1,4,LOAD_CONST,"{'functionCallString': ""class Solution:\n    def isMatch(self, s, p):\n        if not p: return not s\n        if not s: return len(p) > 1 and p[1] == '*' and self.isMatch(s, p[2:])\n        Matched = (p[0] == '.' or p[0] == s[0])\n        if len(p) > 1 and p[1] == '*':\n            return (Matched and self.isMatch(s[1:], p)) or self.isMatch(s, p[2:])\n        return Matched and self.isMatch(s[1:], p[1:])\n\nsolution = Solution()\nsolution.isMatch('aaa', 'ab*')"", 'f': <_io.TextIOWrapper name='algoData1dd3ba72-7819-487c-beae-706bd668b5f7.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7ff7084548b0>}"
opcode,,1,6,MAKE_FUNCTION,"{'functionCallString': ""class Solution:\n    def isMatch(self, s, p):\n        if not p: return not s\n        if not s: return len(p) > 1 and p[1] == '*' and self.isMatch(s, p[2:])\n        Matched = (p[0] == '.' or p[0] == s[0])\n        if len(p) > 1 and p[1] == '*':\n            return (Matched and self.isMatch(s[1:], p)) or self.isMatch(s, p[2:])\n        return Matched and self.isMatch(s[1:], p[1:])\n\nsolution = Solution()\nsolution.isMatch('aaa', 'ab*')"", 'f': <_io.TextIOWrapper name='algoData1dd3ba72-7819-487c-beae-706bd668b5f7.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7ff7084548b0>}"
opcode,,1,8,LOAD_CONST,"{'functionCallString': ""class Solution:\n    def isMatch(self, s, p):\n        if not p: return not s\n        if not s: return len(p) > 1 and p[1] == '*' and self.isMatch(s, p[2:])\n        Matched = (p[0] == '.' or p[0] == s[0])\n        if len(p) > 1 and p[1] == '*':\n            return (Matched and self.isMatch(s[1:], p)) or self.isMatch(s, p[2:])\n        return Matched and self.isMatch(s[1:], p[1:])\n\nsolution = Solution()\nsolution.isMatch('aaa', 'ab*')"", 'f': <_io.TextIOWrapper name='algoData1dd3ba72-7819-487c-beae-706bd668b5f7.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7ff7084548b0>}"
opcode,,1,10,CALL_FUNCTION,"{'functionCallString': ""class Solution:\n    def isMatch(self, s, p):\n        if not p: return not s\n        if not s: return len(p) > 1 and p[1] == '*' and self.isMatch(s, p[2:])\n        Matched = (p[0] == '.' or p[0] == s[0])\n        if len(p) > 1 and p[1] == '*':\n            return (Matched and self.isMatch(s[1:], p)) or self.isMatch(s, p[2:])\n        return Matched and self.isMatch(s[1:], p[1:])\n\nsolution = Solution()\nsolution.isMatch('aaa', 'ab*')"", 'f': <_io.TextIOWrapper name='algoData1dd3ba72-7819-487c-beae-706bd668b5f7.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7ff7084548b0>}"
call,,1,-1,<0>,{}
line,,1,0,LOAD_NAME,{}
