event,arg,line,lasti,opcode,localObjects
call,,31,-1,<0>,{}
line,,32,0,LOAD_GLOBAL,{}
opcode,,32,0,LOAD_GLOBAL,{}
opcode,,32,2,LOAD_GLOBAL,{}
opcode,,32,4,LOAD_GLOBAL,{}
opcode,,32,6,CALL_FUNCTION,{}
opcode,,32,8,CALL_FUNCTION,{}
opcode,,32,10,CALL_FUNCTION,{}
opcode,,32,12,GET_ITER,{}
opcode,,32,14,FOR_ITER,{}
opcode,,32,16,STORE_FAST,{}
line,,33,18,LOAD_GLOBAL,"{""_"": ""0""}"
opcode,,33,18,LOAD_GLOBAL,"{""_"": ""0""}"
opcode,,33,20,LOAD_GLOBAL,"{""_"": ""0""}"
opcode,,33,22,CALL_FUNCTION,"{""_"": ""0""}"
opcode,,33,24,CALL_FUNCTION,"{""_"": ""0""}"
opcode,,33,26,STORE_FAST,"{""_"": ""0""}"
line,,34,28,BUILD_LIST,"{""_"": ""0"", ""n"": ""2""}"
opcode,,34,28,BUILD_LIST,"{""_"": ""0"", ""n"": ""2""}"
opcode,,34,30,STORE_FAST,"{""_"": ""0"", ""n"": ""2""}"
line,,35,32,LOAD_GLOBAL,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,32,LOAD_GLOBAL,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,34,LOAD_GLOBAL,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,36,LOAD_FAST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,38,LOAD_FAST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,40,LOAD_CONST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,42,BINARY_FLOOR_DIVIDE,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,44,LOAD_CONST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,46,BINARY_SUBTRACT,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,48,LOAD_CONST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,50,CALL_FUNCTION,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,52,LOAD_GLOBAL,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,54,LOAD_CONST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,56,LOAD_FAST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,58,LOAD_CONST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,60,BINARY_FLOOR_DIVIDE,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,62,LOAD_CONST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,64,BINARY_ADD,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,66,CALL_FUNCTION,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,68,CALL_FUNCTION,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,70,GET_ITER,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,72,FOR_ITER,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,74,UNPACK_SEQUENCE,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,76,STORE_FAST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]""}"
opcode,,35,78,STORE_FAST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]"", ""x"": ""2""}"
line,,36,80,LOAD_FAST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,36,80,LOAD_FAST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,36,82,LOAD_METHOD,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,36,84,LOAD_FAST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,36,86,CALL_METHOD,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,36,88,POP_TOP,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2]"", ""x"": ""2"", ""y"": ""1""}"
line,,37,90,LOAD_FAST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,37,90,LOAD_FAST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,37,92,LOAD_METHOD,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,37,94,LOAD_FAST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,37,96,CALL_METHOD,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,37,98,POP_TOP,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,37,100,JUMP_ABSOLUTE,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
line,,35,72,FOR_ITER,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,35,72,FOR_ITER,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
line,,39,102,LOAD_FAST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,39,102,LOAD_FAST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,39,104,LOAD_CONST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,39,106,BINARY_MODULO,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,39,108,POP_JUMP_IF_FALSE,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
line,,41,128,LOAD_GLOBAL,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,41,128,LOAD_GLOBAL,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,41,130,LOAD_GLOBAL,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,41,132,LOAD_FAST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,41,134,CALL_FUNCTION,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,41,136,CALL_FUNCTION_EX,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,41,138,POP_TOP,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,41,140,JUMP_ABSOLUTE,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
line,,32,14,FOR_ITER,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,32,14,FOR_ITER,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,32,16,STORE_FAST,"{""_"": ""0"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
line,,33,18,LOAD_GLOBAL,"{""_"": ""1"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,33,18,LOAD_GLOBAL,"{""_"": ""1"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,33,20,LOAD_GLOBAL,"{""_"": ""1"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,33,22,CALL_FUNCTION,"{""_"": ""1"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,33,24,CALL_FUNCTION,"{""_"": ""1"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,33,26,STORE_FAST,"{""_"": ""1"", ""n"": ""2"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
line,,34,28,BUILD_LIST,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,34,28,BUILD_LIST,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,34,30,STORE_FAST,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[2, 1]"", ""x"": ""2"", ""y"": ""1""}"
line,,35,32,LOAD_GLOBAL,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,35,32,LOAD_GLOBAL,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,35,34,LOAD_GLOBAL,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,35,36,LOAD_FAST,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,35,38,LOAD_FAST,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,35,40,LOAD_CONST,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,35,42,BINARY_FLOOR_DIVIDE,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,35,44,LOAD_CONST,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,35,46,BINARY_SUBTRACT,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,35,48,LOAD_CONST,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,35,50,CALL_FUNCTION,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,35,52,LOAD_GLOBAL,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,35,54,LOAD_CONST,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,35,56,LOAD_FAST,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,35,58,LOAD_CONST,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,35,60,BINARY_FLOOR_DIVIDE,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,35,62,LOAD_CONST,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,35,64,BINARY_ADD,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
opcode,,35,66,CALL_FUNCTION,"{""_"": ""1"", ""n"": ""3"", ""ans"": ""[]"", ""x"": ""2"", ""y"": ""1""}"
