event,arg,line,offset,opcode,locals,localObjects
call,,1,-1,<0>,"{'functionCallString': 'firstMissingPositive', 'arguments': [{'input': '[3,4,-1,1]'}], 'argumentString': '[3,4,-1,1]', 'argument': {'input': '[3,4,-1,1]'}, 'f': <_io.TextIOWrapper name='algoData267e4116-5c61-47ad-a8c7-8b84c974fd8c.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7f8ff0696a40>, 'solution': <fucky.Solution object at 0x7f8ff06b1700>}","{""functionCallString"": ""firstMissingPositive"", ""arguments"": [{""input"": ""[3,4,-1,1]""}], ""argumentString"": ""[3,4,-1,1]"", ""argument"": {""input"": ""[3,4,-1,1]""}}"
line,,1,0,LOAD_NAME,"{'functionCallString': 'firstMissingPositive', 'arguments': [{'input': '[3,4,-1,1]'}], 'argumentString': '[3,4,-1,1]', 'argument': {'input': '[3,4,-1,1]'}, 'f': <_io.TextIOWrapper name='algoData267e4116-5c61-47ad-a8c7-8b84c974fd8c.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7f8ff0696a40>, 'solution': <fucky.Solution object at 0x7f8ff06b1700>}","{""functionCallString"": ""firstMissingPositive"", ""arguments"": [{""input"": ""[3,4,-1,1]""}], ""argumentString"": ""[3,4,-1,1]"", ""argument"": {""input"": ""[3,4,-1,1]""}}"
opcode,,1,0,LOAD_NAME,"{'functionCallString': 'firstMissingPositive', 'arguments': [{'input': '[3,4,-1,1]'}], 'argumentString': '[3,4,-1,1]', 'argument': {'input': '[3,4,-1,1]'}, 'f': <_io.TextIOWrapper name='algoData267e4116-5c61-47ad-a8c7-8b84c974fd8c.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7f8ff0696a40>, 'solution': <fucky.Solution object at 0x7f8ff06b1700>}","{""functionCallString"": ""firstMissingPositive"", ""arguments"": [{""input"": ""[3,4,-1,1]""}], ""argumentString"": ""[3,4,-1,1]"", ""argument"": {""input"": ""[3,4,-1,1]""}}"
opcode,,1,2,LOAD_METHOD,"{'functionCallString': 'firstMissingPositive', 'arguments': [{'input': '[3,4,-1,1]'}], 'argumentString': '[3,4,-1,1]', 'argument': {'input': '[3,4,-1,1]'}, 'f': <_io.TextIOWrapper name='algoData267e4116-5c61-47ad-a8c7-8b84c974fd8c.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7f8ff0696a40>, 'solution': <fucky.Solution object at 0x7f8ff06b1700>}","{""functionCallString"": ""firstMissingPositive"", ""arguments"": [{""input"": ""[3,4,-1,1]""}], ""argumentString"": ""[3,4,-1,1]"", ""argument"": {""input"": ""[3,4,-1,1]""}}"
opcode,,1,4,LOAD_CONST,"{'functionCallString': 'firstMissingPositive', 'arguments': [{'input': '[3,4,-1,1]'}], 'argumentString': '[3,4,-1,1]', 'argument': {'input': '[3,4,-1,1]'}, 'f': <_io.TextIOWrapper name='algoData267e4116-5c61-47ad-a8c7-8b84c974fd8c.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7f8ff0696a40>, 'solution': <fucky.Solution object at 0x7f8ff06b1700>}","{""functionCallString"": ""firstMissingPositive"", ""arguments"": [{""input"": ""[3,4,-1,1]""}], ""argumentString"": ""[3,4,-1,1]"", ""argument"": {""input"": ""[3,4,-1,1]""}}"
opcode,,1,6,LOAD_CONST,"{'functionCallString': 'firstMissingPositive', 'arguments': [{'input': '[3,4,-1,1]'}], 'argumentString': '[3,4,-1,1]', 'argument': {'input': '[3,4,-1,1]'}, 'f': <_io.TextIOWrapper name='algoData267e4116-5c61-47ad-a8c7-8b84c974fd8c.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7f8ff0696a40>, 'solution': <fucky.Solution object at 0x7f8ff06b1700>}","{""functionCallString"": ""firstMissingPositive"", ""arguments"": [{""input"": ""[3,4,-1,1]""}], ""argumentString"": ""[3,4,-1,1]"", ""argument"": {""input"": ""[3,4,-1,1]""}}"
opcode,,1,8,LOAD_CONST,"{'functionCallString': 'firstMissingPositive', 'arguments': [{'input': '[3,4,-1,1]'}], 'argumentString': '[3,4,-1,1]', 'argument': {'input': '[3,4,-1,1]'}, 'f': <_io.TextIOWrapper name='algoData267e4116-5c61-47ad-a8c7-8b84c974fd8c.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7f8ff0696a40>, 'solution': <fucky.Solution object at 0x7f8ff06b1700>}","{""functionCallString"": ""firstMissingPositive"", ""arguments"": [{""input"": ""[3,4,-1,1]""}], ""argumentString"": ""[3,4,-1,1]"", ""argument"": {""input"": ""[3,4,-1,1]""}}"
opcode,,1,10,LOAD_CONST,"{'functionCallString': 'firstMissingPositive', 'arguments': [{'input': '[3,4,-1,1]'}], 'argumentString': '[3,4,-1,1]', 'argument': {'input': '[3,4,-1,1]'}, 'f': <_io.TextIOWrapper name='algoData267e4116-5c61-47ad-a8c7-8b84c974fd8c.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7f8ff0696a40>, 'solution': <fucky.Solution object at 0x7f8ff06b1700>}","{""functionCallString"": ""firstMissingPositive"", ""arguments"": [{""input"": ""[3,4,-1,1]""}], ""argumentString"": ""[3,4,-1,1]"", ""argument"": {""input"": ""[3,4,-1,1]""}}"
opcode,,1,12,BUILD_LIST,"{'functionCallString': 'firstMissingPositive', 'arguments': [{'input': '[3,4,-1,1]'}], 'argumentString': '[3,4,-1,1]', 'argument': {'input': '[3,4,-1,1]'}, 'f': <_io.TextIOWrapper name='algoData267e4116-5c61-47ad-a8c7-8b84c974fd8c.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7f8ff0696a40>, 'solution': <fucky.Solution object at 0x7f8ff06b1700>}","{""functionCallString"": ""firstMissingPositive"", ""arguments"": [{""input"": ""[3,4,-1,1]""}], ""argumentString"": ""[3,4,-1,1]"", ""argument"": {""input"": ""[3,4,-1,1]""}}"
opcode,,1,14,CALL_METHOD,"{'functionCallString': 'firstMissingPositive', 'arguments': [{'input': '[3,4,-1,1]'}], 'argumentString': '[3,4,-1,1]', 'argument': {'input': '[3,4,-1,1]'}, 'f': <_io.TextIOWrapper name='algoData267e4116-5c61-47ad-a8c7-8b84c974fd8c.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7f8ff0696a40>, 'solution': <fucky.Solution object at 0x7f8ff06b1700>}","{""functionCallString"": ""firstMissingPositive"", ""arguments"": [{""input"": ""[3,4,-1,1]""}], ""argumentString"": ""[3,4,-1,1]"", ""argument"": {""input"": ""[3,4,-1,1]""}}"
