event,arg,line,offset,opcode,locals
call,,1,-1,<0>,"{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2', 'f': <_io.TextIOWrapper name='algoData38ca89eb-34e7-4a4a-8103-165e760bd881.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fd20087a720>}"
line,,1,0,LOAD_BUILD_CLASS,"{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2', 'f': <_io.TextIOWrapper name='algoData38ca89eb-34e7-4a4a-8103-165e760bd881.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fd20087a720>}"
opcode,,1,0,LOAD_BUILD_CLASS,"{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2', 'f': <_io.TextIOWrapper name='algoData38ca89eb-34e7-4a4a-8103-165e760bd881.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fd20087a720>}"
opcode,,1,2,LOAD_CONST,"{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2', 'f': <_io.TextIOWrapper name='algoData38ca89eb-34e7-4a4a-8103-165e760bd881.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fd20087a720>}"
opcode,,1,4,LOAD_CONST,"{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2', 'f': <_io.TextIOWrapper name='algoData38ca89eb-34e7-4a4a-8103-165e760bd881.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fd20087a720>}"
opcode,,1,6,MAKE_FUNCTION,"{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2', 'f': <_io.TextIOWrapper name='algoData38ca89eb-34e7-4a4a-8103-165e760bd881.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fd20087a720>}"
opcode,,1,8,LOAD_CONST,"{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2', 'f': <_io.TextIOWrapper name='algoData38ca89eb-34e7-4a4a-8103-165e760bd881.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fd20087a720>}"
opcode,,1,10,CALL_FUNCTION,"{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2', 'f': <_io.TextIOWrapper name='algoData38ca89eb-34e7-4a4a-8103-165e760bd881.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fd20087a720>}"
call,,1,-1,<0>,{}
line,,1,0,LOAD_NAME,{}
opcode,,1,0,LOAD_NAME,{}
opcode,,1,2,STORE_NAME,{}
opcode,,1,4,LOAD_CONST,{'__module__': 'createCSV'}
opcode,,1,6,STORE_NAME,{'__module__': 'createCSV'}
line,,2,8,LOAD_NAME,"{'__module__': 'createCSV', '__qualname__': 'Solution'}"
opcode,,2,8,LOAD_NAME,"{'__module__': 'createCSV', '__qualname__': 'Solution'}"
opcode,,2,10,LOAD_NAME,"{'__module__': 'createCSV', '__qualname__': 'Solution'}"
opcode,,2,12,BINARY_SUBSCR,"{'__module__': 'createCSV', '__qualname__': 'Solution'}"
call,,255,-1,<0>,"{'args': (typing.List, <class 'int'>), 'kwds': {}, 'cached': <functools._lru_cache_wrapper object at 0x7fd1f01a6dc0>, 'func': <function _GenericAlias.__getitem__ at 0x7fd1f01a6ca0>}"
line,,257,0,SETUP_FINALLY,"{'args': (typing.List, <class 'int'>), 'kwds': {}, 'cached': <functools._lru_cache_wrapper object at 0x7fd1f01a6dc0>, 'func': <function _GenericAlias.__getitem__ at 0x7fd1f01a6ca0>}"
opcode,,257,0,SETUP_FINALLY,"{'args': (typing.List, <class 'int'>), 'kwds': {}, 'cached': <functools._lru_cache_wrapper object at 0x7fd1f01a6dc0>, 'func': <function _GenericAlias.__getitem__ at 0x7fd1f01a6ca0>}"
line,,258,2,LOAD_DEREF,"{'args': (typing.List, <class 'int'>), 'kwds': {}, 'cached': <functools._lru_cache_wrapper object at 0x7fd1f01a6dc0>, 'func': <function _GenericAlias.__getitem__ at 0x7fd1f01a6ca0>}"
opcode,,258,2,LOAD_DEREF,"{'args': (typing.List, <class 'int'>), 'kwds': {}, 'cached': <functools._lru_cache_wrapper object at 0x7fd1f01a6dc0>, 'func': <function _GenericAlias.__getitem__ at 0x7fd1f01a6ca0>}"
opcode,,258,4,LOAD_FAST,"{'args': (typing.List, <class 'int'>), 'kwds': {}, 'cached': <functools._lru_cache_wrapper object at 0x7fd1f01a6dc0>, 'func': <function _GenericAlias.__getitem__ at 0x7fd1f01a6ca0>}"
