event,arg,line,offset,opcode,locals,localObjects
call,,1,-1,<0>,"{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}, 'f': <_io.TextIOWrapper name='algoData39d47878-1918-4ee0-9de0-3d797f8176a5.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fe5d83992c0>, 'solution': <fucky.Solution object at 0x7fe5d837ca30>}","{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}}"
line,,1,0,LOAD_NAME,"{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}, 'f': <_io.TextIOWrapper name='algoData39d47878-1918-4ee0-9de0-3d797f8176a5.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fe5d83992c0>, 'solution': <fucky.Solution object at 0x7fe5d837ca30>}","{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}}"
opcode,,1,0,LOAD_NAME,"{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}, 'f': <_io.TextIOWrapper name='algoData39d47878-1918-4ee0-9de0-3d797f8176a5.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fe5d83992c0>, 'solution': <fucky.Solution object at 0x7fe5d837ca30>}","{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}}"
opcode,,1,2,LOAD_METHOD,"{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}, 'f': <_io.TextIOWrapper name='algoData39d47878-1918-4ee0-9de0-3d797f8176a5.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fe5d83992c0>, 'solution': <fucky.Solution object at 0x7fe5d837ca30>}","{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}}"
opcode,,1,4,LOAD_CONST,"{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}, 'f': <_io.TextIOWrapper name='algoData39d47878-1918-4ee0-9de0-3d797f8176a5.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fe5d83992c0>, 'solution': <fucky.Solution object at 0x7fe5d837ca30>}","{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}}"
opcode,,1,6,LOAD_CONST,"{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}, 'f': <_io.TextIOWrapper name='algoData39d47878-1918-4ee0-9de0-3d797f8176a5.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fe5d83992c0>, 'solution': <fucky.Solution object at 0x7fe5d837ca30>}","{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}}"
opcode,,1,8,CALL_METHOD,"{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}, 'f': <_io.TextIOWrapper name='algoData39d47878-1918-4ee0-9de0-3d797f8176a5.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fe5d83992c0>, 'solution': <fucky.Solution object at 0x7fe5d837ca30>}","{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}}"
call,,3,-1,<0>,"{'self': <fucky.Solution object at 0x7fe5d837ca30>, 's': 'abab', 'p': 'a*'}","{'s': 'abab', 'p': 'a*'}"
line,,4,0,LOAD_CLOSURE,"{'self': <fucky.Solution object at 0x7fe5d837ca30>, 's': 'abab', 'p': 'a*'}","{'s': 'abab', 'p': 'a*'}"
opcode,,4,0,LOAD_CLOSURE,"{'self': <fucky.Solution object at 0x7fe5d837ca30>, 's': 'abab', 'p': 'a*'}","{'s': 'abab', 'p': 'a*'}"
