event,arg,line,lasti,opcode,localObjects
call,,31,-1,<0>,{}
line,,32,0,LOAD_GLOBAL,{}
opcode,,32,0,LOAD_GLOBAL,{}
opcode,,32,2,LOAD_GLOBAL,{}
opcode,,32,4,CALL_FUNCTION,{}
opcode,,32,6,CALL_FUNCTION,{}
opcode,,32,8,STORE_FAST,{}
line,,33,10,LOAD_FAST,"{""t"": ""6""}"
opcode,,33,10,LOAD_FAST,"{""t"": ""6""}"
opcode,,33,12,LOAD_CONST,"{""t"": ""6""}"
opcode,,33,14,COMPARE_OP,"{""t"": ""6""}"
opcode,,33,16,POP_JUMP_IF_FALSE,"{""t"": ""6""}"
line,,34,18,LOAD_GLOBAL,"{""t"": ""6""}"
opcode,,34,18,LOAD_GLOBAL,"{""t"": ""6""}"
opcode,,34,20,LOAD_GLOBAL,"{""t"": ""6""}"
opcode,,34,22,CALL_FUNCTION,"{""t"": ""6""}"
opcode,,34,24,CALL_FUNCTION,"{""t"": ""6""}"
opcode,,34,26,STORE_FAST,"{""t"": ""6""}"
line,,35,28,LOAD_GLOBAL,"{""t"": ""6"", ""n"": ""18""}"
opcode,,35,28,LOAD_GLOBAL,"{""t"": ""6"", ""n"": ""18""}"
opcode,,35,30,CALL_FUNCTION,"{""t"": ""6"", ""n"": ""18""}"
opcode,,35,32,STORE_FAST,"{""t"": ""6"", ""n"": ""18""}"
line,,36,34,BUILD_LIST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T.""}"
opcode,,36,34,BUILD_LIST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T.""}"
opcode,,36,36,STORE_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T.""}"
line,,37,38,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]""}"
opcode,,37,38,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]""}"
opcode,,37,40,GET_ITER,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]""}"
opcode,,37,42,FOR_ITER,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]""}"
opcode,,37,44,STORE_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]""}"
line,,38,46,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,38,46,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,38,48,LOAD_CONST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,38,50,COMPARE_OP,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,38,52,POP_JUMP_IF_TRUE,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,38,54,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,38,56,LOAD_CONST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,38,58,COMPARE_OP,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,38,60,POP_JUMP_IF_FALSE,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
line,,37,42,FOR_ITER,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,37,42,FOR_ITER,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,37,44,STORE_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
line,,38,46,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,38,46,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,38,48,LOAD_CONST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,38,50,COMPARE_OP,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,38,52,POP_JUMP_IF_TRUE,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,38,54,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,38,56,LOAD_CONST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,38,58,COMPARE_OP,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,38,60,POP_JUMP_IF_FALSE,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
line,,37,42,FOR_ITER,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,37,42,FOR_ITER,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
opcode,,37,44,STORE_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": "".""}"
line,,38,46,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": ""H""}"
opcode,,38,46,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": ""H""}"
opcode,,38,48,LOAD_CONST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": ""H""}"
opcode,,38,50,COMPARE_OP,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": ""H""}"
opcode,,38,52,POP_JUMP_IF_TRUE,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": ""H""}"
line,,39,62,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": ""H""}"
opcode,,39,62,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": ""H""}"
opcode,,39,64,LOAD_METHOD,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": ""H""}"
opcode,,39,66,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": ""H""}"
opcode,,39,68,CALL_METHOD,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""[]"", ""i"": ""H""}"
opcode,,39,70,POP_TOP,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": ""H""}"
opcode,,39,72,JUMP_ABSOLUTE,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": ""H""}"
line,,37,42,FOR_ITER,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": ""H""}"
opcode,,37,42,FOR_ITER,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": ""H""}"
opcode,,37,44,STORE_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": ""H""}"
line,,38,46,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,38,46,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,38,48,LOAD_CONST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,38,50,COMPARE_OP,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,38,52,POP_JUMP_IF_TRUE,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,38,54,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,38,56,LOAD_CONST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,38,58,COMPARE_OP,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,38,60,POP_JUMP_IF_FALSE,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
line,,37,42,FOR_ITER,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,37,42,FOR_ITER,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,37,44,STORE_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
line,,38,46,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,38,46,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,38,48,LOAD_CONST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,38,50,COMPARE_OP,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,38,52,POP_JUMP_IF_TRUE,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,38,54,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,38,56,LOAD_CONST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,38,58,COMPARE_OP,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,38,60,POP_JUMP_IF_FALSE,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
line,,37,42,FOR_ITER,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,37,42,FOR_ITER,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
opcode,,37,44,STORE_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": "".""}"
line,,38,46,LOAD_FAST,"{""t"": ""6"", ""n"": ""18"", ""s"": ""..H..T...HTH....T."", ""l"": ""['H']"", ""i"": ""T""}"
