event,arg,line,lasti,opcode,localObjects
call,,31,-1,<0>,{}
line,,32,0,LOAD_GLOBAL,{}
opcode,,32,0,LOAD_GLOBAL,{}
opcode,,32,2,LOAD_GLOBAL,{}
opcode,,32,4,LOAD_GLOBAL,{}
opcode,,32,6,CALL_FUNCTION,{}
opcode,,32,8,CALL_FUNCTION,{}
opcode,,32,10,CALL_FUNCTION,{}
opcode,,32,12,GET_ITER,{}
opcode,,32,14,FOR_ITER,{}
opcode,,32,16,STORE_FAST,{}
line,,33,18,LOAD_GLOBAL,"{""_"": ""0""}"
opcode,,33,18,LOAD_GLOBAL,"{""_"": ""0""}"
opcode,,33,20,LOAD_GLOBAL,"{""_"": ""0""}"
opcode,,33,22,LOAD_GLOBAL,"{""_"": ""0""}"
opcode,,33,24,CALL_FUNCTION,"{""_"": ""0""}"
opcode,,33,26,LOAD_METHOD,"{""_"": ""0""}"
opcode,,33,28,CALL_METHOD,"{""_"": ""0""}"
opcode,,33,30,CALL_FUNCTION,"{""_"": ""0""}"
opcode,,33,32,UNPACK_SEQUENCE,"{""_"": ""0""}"
opcode,,33,34,STORE_FAST,"{""_"": ""0""}"
opcode,,33,36,STORE_FAST,"{""_"": ""0"", ""a"": ""1""}"
line,,34,38,LOAD_FAST,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
opcode,,34,38,LOAD_FAST,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
opcode,,34,40,LOAD_CONST,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
opcode,,34,42,COMPARE_OP,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
opcode,,34,44,POP_JUMP_IF_FALSE,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
opcode,,34,46,LOAD_FAST,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
opcode,,34,48,LOAD_CONST,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
opcode,,34,50,COMPARE_OP,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
opcode,,34,52,POP_JUMP_IF_FALSE,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
line,,35,54,LOAD_GLOBAL,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
opcode,,35,54,LOAD_GLOBAL,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
opcode,,35,56,LOAD_CONST,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
opcode,,35,58,CALL_FUNCTION,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
opcode,,35,60,POP_TOP,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
opcode,,35,62,JUMP_ABSOLUTE,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
line,,32,14,FOR_ITER,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
opcode,,32,14,FOR_ITER,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
opcode,,32,16,STORE_FAST,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
line,,33,18,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1""}"
opcode,,33,18,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1""}"
opcode,,33,20,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1""}"
opcode,,33,22,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1""}"
opcode,,33,24,CALL_FUNCTION,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1""}"
opcode,,33,26,LOAD_METHOD,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1""}"
opcode,,33,28,CALL_METHOD,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1""}"
opcode,,33,30,CALL_FUNCTION,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1""}"
opcode,,33,32,UNPACK_SEQUENCE,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1""}"
opcode,,33,34,STORE_FAST,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1""}"
opcode,,33,36,STORE_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""1""}"
line,,34,38,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
opcode,,34,38,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
opcode,,34,40,LOAD_CONST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
opcode,,34,42,COMPARE_OP,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
opcode,,34,44,POP_JUMP_IF_FALSE,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
line,,36,64,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
opcode,,36,64,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
opcode,,36,66,LOAD_CONST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
opcode,,36,68,COMPARE_OP,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
opcode,,36,70,POP_JUMP_IF_FALSE,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
line,,39,90,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
opcode,,39,90,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
opcode,,39,92,LOAD_CONST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
opcode,,39,94,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
opcode,,39,96,LOAD_CONST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
opcode,,39,98,BINARY_ADD,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
opcode,,39,100,CALL_FUNCTION,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
opcode,,39,102,GET_ITER,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
opcode,,39,104,FOR_ITER,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
opcode,,39,106,STORE_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2""}"
line,,40,108,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""1""}"
opcode,,40,108,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""1""}"
opcode,,40,110,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""1""}"
opcode,,40,112,COMPARE_OP,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""1""}"
opcode,,40,114,POP_JUMP_IF_FALSE,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""1""}"
line,,41,116,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""1""}"
opcode,,41,116,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""1""}"
opcode,,41,118,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""1""}"
opcode,,41,120,LOAD_CONST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""1""}"
opcode,,41,122,LOAD_CONST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""1""}"
opcode,,41,124,CALL_FUNCTION_KW,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""1""}"
opcode,,41,126,POP_TOP,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""1""}"
opcode,,41,128,JUMP_ABSOLUTE,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""1""}"
line,,39,104,FOR_ITER,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""1""}"
opcode,,39,104,FOR_ITER,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""1""}"
opcode,,39,106,STORE_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""1""}"
line,,40,108,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""2""}"
opcode,,40,108,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""2""}"
opcode,,40,110,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""2""}"
opcode,,40,112,COMPARE_OP,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""2""}"
opcode,,40,114,POP_JUMP_IF_FALSE,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""2""}"
line,,39,104,FOR_ITER,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""2""}"
opcode,,39,104,FOR_ITER,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""2""}"
opcode,,39,106,STORE_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""2""}"
line,,40,108,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,40,108,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,40,110,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,40,112,COMPARE_OP,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,40,114,POP_JUMP_IF_FALSE,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
line,,41,116,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,41,116,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,41,118,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,41,120,LOAD_CONST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,41,122,LOAD_CONST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,41,124,CALL_FUNCTION_KW,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,41,126,POP_TOP,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,41,128,JUMP_ABSOLUTE,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
line,,39,104,FOR_ITER,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,39,104,FOR_ITER,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
line,,42,130,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,42,130,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,42,132,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,42,134,CALL_FUNCTION,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,42,136,POP_TOP,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,42,138,JUMP_ABSOLUTE,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
line,,32,14,FOR_ITER,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,32,14,FOR_ITER,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,32,16,STORE_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
line,,33,18,LOAD_GLOBAL,"{""_"": ""2"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,33,18,LOAD_GLOBAL,"{""_"": ""2"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,33,20,LOAD_GLOBAL,"{""_"": ""2"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
opcode,,33,22,LOAD_GLOBAL,"{""_"": ""2"", ""a"": ""3"", ""b"": ""2"", ""i"": ""3""}"
