event,arg,line,offset,opcode,locals,localObjects
call,,1,-1,<0>,"{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2\n\nsolution = Solution()\nsolution.findMedianSortedArrays([1,2],[3,4,5])', 'f': <_io.TextIOWrapper name='algoData74b59524-160c-4525-9ae4-e8d18f87e555.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fc6c83ae720>}","{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2\n\nsolution = Solution()\nsolution.findMedianSortedArrays([1,2],[3,4,5])', 'f': <_io.TextIOWrapper name='algoData74b59524-160c-4525-9ae4-e8d18f87e555.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fc6c83ae720>}"
line,,1,0,LOAD_BUILD_CLASS,"{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2\n\nsolution = Solution()\nsolution.findMedianSortedArrays([1,2],[3,4,5])', 'f': <_io.TextIOWrapper name='algoData74b59524-160c-4525-9ae4-e8d18f87e555.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fc6c83ae720>}","{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2\n\nsolution = Solution()\nsolution.findMedianSortedArrays([1,2],[3,4,5])', 'f': <_io.TextIOWrapper name='algoData74b59524-160c-4525-9ae4-e8d18f87e555.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fc6c83ae720>}"
opcode,,1,0,LOAD_BUILD_CLASS,"{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2\n\nsolution = Solution()\nsolution.findMedianSortedArrays([1,2],[3,4,5])', 'f': <_io.TextIOWrapper name='algoData74b59524-160c-4525-9ae4-e8d18f87e555.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fc6c83ae720>}","{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2\n\nsolution = Solution()\nsolution.findMedianSortedArrays([1,2],[3,4,5])', 'f': <_io.TextIOWrapper name='algoData74b59524-160c-4525-9ae4-e8d18f87e555.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fc6c83ae720>}"
opcode,,1,2,LOAD_CONST,"{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2\n\nsolution = Solution()\nsolution.findMedianSortedArrays([1,2],[3,4,5])', 'f': <_io.TextIOWrapper name='algoData74b59524-160c-4525-9ae4-e8d18f87e555.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fc6c83ae720>}","{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2\n\nsolution = Solution()\nsolution.findMedianSortedArrays([1,2],[3,4,5])', 'f': <_io.TextIOWrapper name='algoData74b59524-160c-4525-9ae4-e8d18f87e555.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fc6c83ae720>}"
opcode,,1,4,LOAD_CONST,"{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2\n\nsolution = Solution()\nsolution.findMedianSortedArrays([1,2],[3,4,5])', 'f': <_io.TextIOWrapper name='algoData74b59524-160c-4525-9ae4-e8d18f87e555.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fc6c83ae720>}","{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2\n\nsolution = Solution()\nsolution.findMedianSortedArrays([1,2],[3,4,5])', 'f': <_io.TextIOWrapper name='algoData74b59524-160c-4525-9ae4-e8d18f87e555.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fc6c83ae720>}"
opcode,,1,6,MAKE_FUNCTION,"{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2\n\nsolution = Solution()\nsolution.findMedianSortedArrays([1,2],[3,4,5])', 'f': <_io.TextIOWrapper name='algoData74b59524-160c-4525-9ae4-e8d18f87e555.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fc6c83ae720>}","{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2\n\nsolution = Solution()\nsolution.findMedianSortedArrays([1,2],[3,4,5])', 'f': <_io.TextIOWrapper name='algoData74b59524-160c-4525-9ae4-e8d18f87e555.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fc6c83ae720>}"
opcode,,1,8,LOAD_CONST,"{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2\n\nsolution = Solution()\nsolution.findMedianSortedArrays([1,2],[3,4,5])', 'f': <_io.TextIOWrapper name='algoData74b59524-160c-4525-9ae4-e8d18f87e555.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fc6c83ae720>}","{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2\n\nsolution = Solution()\nsolution.findMedianSortedArrays([1,2],[3,4,5])', 'f': <_io.TextIOWrapper name='algoData74b59524-160c-4525-9ae4-e8d18f87e555.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fc6c83ae720>}"
opcode,,1,10,CALL_FUNCTION,"{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2\n\nsolution = Solution()\nsolution.findMedianSortedArrays([1,2],[3,4,5])', 'f': <_io.TextIOWrapper name='algoData74b59524-160c-4525-9ae4-e8d18f87e555.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fc6c83ae720>}","{'functionCallString': 'class Solution:\n    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:\n        m, n = len(nums1), len(nums2)\n        mid = (m + n) // 2 + 1\n        prev2 = prev1 = None\n        i = j = 0\n\n        for _ in range(mid):\n            prev2 = prev1\n            if j == n or (i != m and nums1[i] <= nums2[j]):\n                prev1 = nums1[i]\n                i += 1\n            else:\n                prev1 = nums2[j]\n                j += 1\n        \n        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2\n\nsolution = Solution()\nsolution.findMedianSortedArrays([1,2],[3,4,5])', 'f': <_io.TextIOWrapper name='algoData74b59524-160c-4525-9ae4-e8d18f87e555.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fc6c83ae720>}"
call,,1,-1,<0>,{},{}
line,,1,0,LOAD_NAME,{},{}
