event,arg,line,offset,opcode,locals,localObjects
call,,1,-1,<0>,"{'functionCallString': 'test', 'f': <_io.TextIOWrapper name='algoData9d6f4cef-f486-4de7-a0f8-395e7b8b5ae5.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fb278962360>, 'solution': <fucky.Solution object at 0x7fb278943b80>}",{'functionCallString': 'test'}
line,,1,0,LOAD_NAME,"{'functionCallString': 'test', 'f': <_io.TextIOWrapper name='algoData9d6f4cef-f486-4de7-a0f8-395e7b8b5ae5.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fb278962360>, 'solution': <fucky.Solution object at 0x7fb278943b80>}",{'functionCallString': 'test'}
opcode,,1,0,LOAD_NAME,"{'functionCallString': 'test', 'f': <_io.TextIOWrapper name='algoData9d6f4cef-f486-4de7-a0f8-395e7b8b5ae5.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fb278962360>, 'solution': <fucky.Solution object at 0x7fb278943b80>}",{'functionCallString': 'test'}
opcode,,1,2,LOAD_METHOD,"{'functionCallString': 'test', 'f': <_io.TextIOWrapper name='algoData9d6f4cef-f486-4de7-a0f8-395e7b8b5ae5.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fb278962360>, 'solution': <fucky.Solution object at 0x7fb278943b80>}",{'functionCallString': 'test'}
opcode,,1,4,LOAD_CONST,"{'functionCallString': 'test', 'f': <_io.TextIOWrapper name='algoData9d6f4cef-f486-4de7-a0f8-395e7b8b5ae5.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fb278962360>, 'solution': <fucky.Solution object at 0x7fb278943b80>}",{'functionCallString': 'test'}
opcode,,1,6,CALL_METHOD,"{'functionCallString': 'test', 'f': <_io.TextIOWrapper name='algoData9d6f4cef-f486-4de7-a0f8-395e7b8b5ae5.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fb278962360>, 'solution': <fucky.Solution object at 0x7fb278943b80>}",{'functionCallString': 'test'}
call,,3,-1,<0>,"{'self': <fucky.Solution object at 0x7fb278943b80>, 'n': 4}",{'n': 4}
line,,4,0,LOAD_CLOSURE,"{'self': <fucky.Solution object at 0x7fb278943b80>, 'n': 4}",{'n': 4}
opcode,,4,0,LOAD_CLOSURE,"{'self': <fucky.Solution object at 0x7fb278943b80>, 'n': 4}",{'n': 4}
opcode,,4,2,BUILD_TUPLE,"{'self': <fucky.Solution object at 0x7fb278943b80>, 'n': 4}",{'n': 4}
opcode,,4,4,LOAD_CONST,"{'self': <fucky.Solution object at 0x7fb278943b80>, 'n': 4}",{'n': 4}
opcode,,4,6,LOAD_CONST,"{'self': <fucky.Solution object at 0x7fb278943b80>, 'n': 4}",{'n': 4}
opcode,,4,8,MAKE_FUNCTION,"{'self': <fucky.Solution object at 0x7fb278943b80>, 'n': 4}",{'n': 4}
opcode,,4,10,STORE_DEREF,"{'self': <fucky.Solution object at 0x7fb278943b80>, 'n': 4}",{'n': 4}
line,,15,12,LOAD_CLOSURE,"{'self': <fucky.Solution object at 0x7fb278943b80>, 'n': 4, 'issafe': <function Solution.solveNQueens.<locals>.issafe at 0x7fb27893c5e0>}",{'n': 4}
opcode,,15,12,LOAD_CLOSURE,"{'self': <fucky.Solution object at 0x7fb278943b80>, 'n': 4, 'issafe': <function Solution.solveNQueens.<locals>.issafe at 0x7fb27893c5e0>}",{'n': 4}
opcode,,15,14,LOAD_CLOSURE,"{'self': <fucky.Solution object at 0x7fb278943b80>, 'n': 4, 'issafe': <function Solution.solveNQueens.<locals>.issafe at 0x7fb27893c5e0>}",{'n': 4}
opcode,,15,16,LOAD_CLOSURE,"{'self': <fucky.Solution object at 0x7fb278943b80>, 'n': 4, 'issafe': <function Solution.solveNQueens.<locals>.issafe at 0x7fb27893c5e0>}",{'n': 4}
opcode,,15,18,LOAD_CLOSURE,"{'self': <fucky.Solution object at 0x7fb278943b80>, 'n': 4, 'issafe': <function Solution.solveNQueens.<locals>.issafe at 0x7fb27893c5e0>}",{'n': 4}
opcode,,15,20,BUILD_TUPLE,"{'self': <fucky.Solution object at 0x7fb278943b80>, 'n': 4, 'issafe': <function Solution.solveNQueens.<locals>.issafe at 0x7fb27893c5e0>}",{'n': 4}
opcode,,15,22,LOAD_CONST,"{'self': <fucky.Solution object at 0x7fb278943b80>, 'n': 4, 'issafe': <function Solution.solveNQueens.<locals>.issafe at 0x7fb27893c5e0>}",{'n': 4}
opcode,,15,24,LOAD_CONST,"{'self': <fucky.Solution object at 0x7fb278943b80>, 'n': 4, 'issafe': <function Solution.solveNQueens.<locals>.issafe at 0x7fb27893c5e0>}",{'n': 4}
opcode,,15,26,MAKE_FUNCTION,"{'self': <fucky.Solution object at 0x7fb278943b80>, 'n': 4, 'issafe': <function Solution.solveNQueens.<locals>.issafe at 0x7fb27893c5e0>}",{'n': 4}
opcode,,15,28,STORE_DEREF,"{'self': <fucky.Solution object at 0x7fb278943b80>, 'n': 4, 'issafe': <function Solution.solveNQueens.<locals>.issafe at 0x7fb27893c5e0>}",{'n': 4}
