event,arg,line,offset,opcode,locals,localObjects
call,,164,-1,<0>,"{'args': (SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n')),), 'kwargs': {}, 'app': <Flask 'hello'>, 'cors_after_request': <function make_after_request_function.<locals>.cors_after_request at 0x7fb5b08ff790>, 'f': <bound method Flask.handle_user_exception of <Flask 'hello'>>}","{'args': (SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n')),), 'kwargs': {}}"
line,,165,0,LOAD_DEREF,"{'args': (SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n')),), 'kwargs': {}, 'app': <Flask 'hello'>, 'cors_after_request': <function make_after_request_function.<locals>.cors_after_request at 0x7fb5b08ff790>, 'f': <bound method Flask.handle_user_exception of <Flask 'hello'>>}","{'args': (SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n')),), 'kwargs': {}}"
opcode,,165,0,LOAD_DEREF,"{'args': (SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n')),), 'kwargs': {}, 'app': <Flask 'hello'>, 'cors_after_request': <function make_after_request_function.<locals>.cors_after_request at 0x7fb5b08ff790>, 'f': <bound method Flask.handle_user_exception of <Flask 'hello'>>}","{'args': (SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n')),), 'kwargs': {}}"
opcode,,165,2,LOAD_DEREF,"{'args': (SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n')),), 'kwargs': {}, 'app': <Flask 'hello'>, 'cors_after_request': <function make_after_request_function.<locals>.cors_after_request at 0x7fb5b08ff790>, 'f': <bound method Flask.handle_user_exception of <Flask 'hello'>>}","{'args': (SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n')),), 'kwargs': {}}"
opcode,,165,4,LOAD_METHOD,"{'args': (SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n')),), 'kwargs': {}, 'app': <Flask 'hello'>, 'cors_after_request': <function make_after_request_function.<locals>.cors_after_request at 0x7fb5b08ff790>, 'f': <bound method Flask.handle_user_exception of <Flask 'hello'>>}","{'args': (SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n')),), 'kwargs': {}}"
opcode,,165,6,LOAD_DEREF,"{'args': (SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n')),), 'kwargs': {}, 'app': <Flask 'hello'>, 'cors_after_request': <function make_after_request_function.<locals>.cors_after_request at 0x7fb5b08ff790>, 'f': <bound method Flask.handle_user_exception of <Flask 'hello'>>}","{'args': (SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n')),), 'kwargs': {}}"
opcode,,165,8,LOAD_FAST,"{'args': (SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n')),), 'kwargs': {}, 'app': <Flask 'hello'>, 'cors_after_request': <function make_after_request_function.<locals>.cors_after_request at 0x7fb5b08ff790>, 'f': <bound method Flask.handle_user_exception of <Flask 'hello'>>}","{'args': (SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n')),), 'kwargs': {}}"
opcode,,165,10,LOAD_FAST,"{'args': (SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n')),), 'kwargs': {}, 'app': <Flask 'hello'>, 'cors_after_request': <function make_after_request_function.<locals>.cors_after_request at 0x7fb5b08ff790>, 'f': <bound method Flask.handle_user_exception of <Flask 'hello'>>}","{'args': (SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n')),), 'kwargs': {}}"
opcode,,165,12,CALL_FUNCTION_EX,"{'args': (SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n')),), 'kwargs': {}, 'app': <Flask 'hello'>, 'cors_after_request': <function make_after_request_function.<locals>.cors_after_request at 0x7fb5b08ff790>, 'f': <bound method Flask.handle_user_exception of <Flask 'hello'>>}","{'args': (SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n')),), 'kwargs': {}}"
call,,1646,-1,<0>,"{'self': <Flask 'hello'>, 'e': SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n'))}",{}
line,,1663,0,LOAD_GLOBAL,"{'self': <Flask 'hello'>, 'e': SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n'))}",{}
opcode,,1663,0,LOAD_GLOBAL,"{'self': <Flask 'hello'>, 'e': SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n'))}",{}
opcode,,1663,2,LOAD_FAST,"{'self': <Flask 'hello'>, 'e': SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n'))}",{}
opcode,,1663,4,LOAD_GLOBAL,"{'self': <Flask 'hello'>, 'e': SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n'))}",{}
opcode,,1663,6,CALL_FUNCTION,"{'self': <Flask 'hello'>, 'e': SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n'))}",{}
opcode,,1663,8,POP_JUMP_IF_FALSE,"{'self': <Flask 'hello'>, 'e': SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n'))}",{}
line,,1668,32,LOAD_GLOBAL,"{'self': <Flask 'hello'>, 'e': SyntaxError('invalid syntax', ('<string>', 1, 25, 'solution.isMatch(abab,a*,)\n'))}",{}
