call,,29,-1,<0>,{}
line,,32,0,LOAD_GLOBAL,{}
opcode,,32,0,LOAD_GLOBAL,{}
opcode,,32,2,LOAD_GLOBAL,{}
opcode,,32,4,LOAD_GLOBAL,{}
opcode,,32,6,CALL_FUNCTION,{}
opcode,,32,8,CALL_FUNCTION,{}
opcode,,32,10,CALL_FUNCTION,{}
opcode,,32,12,GET_ITER,{}
opcode,,32,14,FOR_ITER,{}
opcode,,32,16,STORE_FAST,{}
line,,33,18,LOAD_GLOBAL,"{""_t"": ""0""}"
opcode,,33,18,LOAD_GLOBAL,"{""_t"": ""0""}"
opcode,,33,20,LOAD_GLOBAL,"{""_t"": ""0""}"
opcode,,33,22,LOAD_GLOBAL,"{""_t"": ""0""}"
opcode,,33,24,CALL_FUNCTION,"{""_t"": ""0""}"
opcode,,33,26,LOAD_METHOD,"{""_t"": ""0""}"
opcode,,33,28,LOAD_CONST,"{""_t"": ""0""}"
opcode,,33,30,CALL_METHOD,"{""_t"": ""0""}"
opcode,,33,32,CALL_FUNCTION,"{""_t"": ""0""}"
opcode,,33,34,UNPACK_SEQUENCE,"{""_t"": ""0""}"
opcode,,33,36,STORE_FAST,"{""_t"": ""0""}"
opcode,,33,38,STORE_FAST,"{""_t"": ""0"", ""n"": ""1""}"
line,,34,40,BUILD_LIST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1""}"
opcode,,34,40,BUILD_LIST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1""}"
opcode,,34,42,STORE_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1""}"
line,,35,44,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]""}"
opcode,,35,44,LOAD_FAST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]""}"
opcode,,35,46,LOAD_CONST,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]""}"
opcode,,35,48,COMPARE_OP,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]""}"
opcode,,35,50,POP_JUMP_IF_FALSE,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]""}"
line,,38,70,LOAD_GLOBAL,"{""_t"": ""0"", ""n"": ""1"", ""k"": ""1"", ""result"": ""[]""}"
