event,arg,line,lasti,opcode,localObjects
call,,31,-1,<0>,{}
line,,32,0,LOAD_GLOBAL,{}
opcode,,32,0,LOAD_GLOBAL,{}
opcode,,32,2,LOAD_GLOBAL,{}
opcode,,32,4,CALL_FUNCTION,{}
opcode,,32,6,CALL_FUNCTION,{}
opcode,,32,8,STORE_FAST,{}
line,,35,10,LOAD_FAST,"{""t"": ""4""}"
opcode,,35,10,LOAD_FAST,"{""t"": ""4""}"
opcode,,35,12,LOAD_CONST,"{""t"": ""4""}"
opcode,,35,14,COMPARE_OP,"{""t"": ""4""}"
opcode,,35,16,POP_JUMP_IF_FALSE,"{""t"": ""4""}"
line,,37,18,LOAD_GLOBAL,"{""t"": ""4""}"
opcode,,37,18,LOAD_GLOBAL,"{""t"": ""4""}"
opcode,,37,20,LOAD_GLOBAL,"{""t"": ""4""}"
opcode,,37,22,LOAD_GLOBAL,"{""t"": ""4""}"
opcode,,37,24,CALL_FUNCTION,"{""t"": ""4""}"
opcode,,37,26,LOAD_METHOD,"{""t"": ""4""}"
opcode,,37,28,CALL_METHOD,"{""t"": ""4""}"
opcode,,37,30,CALL_FUNCTION,"{""t"": ""4""}"
opcode,,37,32,UNPACK_SEQUENCE,"{""t"": ""4""}"
opcode,,37,34,STORE_FAST,"{""t"": ""4""}"
opcode,,37,36,STORE_FAST,"{""t"": ""4"", ""n"": ""1""}"
line,,39,38,LOAD_FAST,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
opcode,,39,38,LOAD_FAST,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
opcode,,39,40,LOAD_CONST,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
opcode,,39,42,COMPARE_OP,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
opcode,,39,44,POP_JUMP_IF_FALSE,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
opcode,,39,46,LOAD_FAST,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
opcode,,39,48,LOAD_CONST,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
opcode,,39,50,COMPARE_OP,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
opcode,,39,52,POP_JUMP_IF_FALSE,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
line,,40,54,LOAD_GLOBAL,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
opcode,,40,54,LOAD_GLOBAL,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
opcode,,40,56,LOAD_CONST,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
opcode,,40,58,CALL_FUNCTION,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
opcode,,40,60,POP_TOP,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
opcode,,40,62,JUMP_FORWARD,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
line,,50,160,LOAD_FAST,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
opcode,,50,160,LOAD_FAST,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
opcode,,50,162,LOAD_CONST,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
opcode,,50,164,INPLACE_SUBTRACT,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
opcode,,50,166,STORE_FAST,"{""t"": ""4"", ""n"": ""1"", ""k"": ""1""}"
opcode,,50,168,JUMP_ABSOLUTE,"{""t"": ""3"", ""n"": ""1"", ""k"": ""1""}"
line,,35,10,LOAD_FAST,"{""t"": ""3"", ""n"": ""1"", ""k"": ""1""}"
opcode,,35,10,LOAD_FAST,"{""t"": ""3"", ""n"": ""1"", ""k"": ""1""}"
opcode,,35,12,LOAD_CONST,"{""t"": ""3"", ""n"": ""1"", ""k"": ""1""}"
opcode,,35,14,COMPARE_OP,"{""t"": ""3"", ""n"": ""1"", ""k"": ""1""}"
opcode,,35,16,POP_JUMP_IF_FALSE,"{""t"": ""3"", ""n"": ""1"", ""k"": ""1""}"
line,,37,18,LOAD_GLOBAL,"{""t"": ""3"", ""n"": ""1"", ""k"": ""1""}"
opcode,,37,18,LOAD_GLOBAL,"{""t"": ""3"", ""n"": ""1"", ""k"": ""1""}"
opcode,,37,20,LOAD_GLOBAL,"{""t"": ""3"", ""n"": ""1"", ""k"": ""1""}"
opcode,,37,22,LOAD_GLOBAL,"{""t"": ""3"", ""n"": ""1"", ""k"": ""1""}"
opcode,,37,24,CALL_FUNCTION,"{""t"": ""3"", ""n"": ""1"", ""k"": ""1""}"
opcode,,37,26,LOAD_METHOD,"{""t"": ""3"", ""n"": ""1"", ""k"": ""1""}"
opcode,,37,28,CALL_METHOD,"{""t"": ""3"", ""n"": ""1"", ""k"": ""1""}"
opcode,,37,30,CALL_FUNCTION,"{""t"": ""3"", ""n"": ""1"", ""k"": ""1""}"
opcode,,37,32,UNPACK_SEQUENCE,"{""t"": ""3"", ""n"": ""1"", ""k"": ""1""}"
opcode,,37,34,STORE_FAST,"{""t"": ""3"", ""n"": ""1"", ""k"": ""1""}"
opcode,,37,36,STORE_FAST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""1""}"
line,,39,38,LOAD_FAST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,39,38,LOAD_FAST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,39,40,LOAD_CONST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,39,42,COMPARE_OP,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,39,44,POP_JUMP_IF_FALSE,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
line,,41,64,LOAD_FAST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,41,64,LOAD_FAST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,41,66,LOAD_CONST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,41,68,COMPARE_OP,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,41,70,POP_JUMP_IF_FALSE,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,41,72,LOAD_FAST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,41,74,LOAD_CONST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,41,76,COMPARE_OP,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,41,78,POP_JUMP_IF_FALSE,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
line,,44,90,LOAD_GLOBAL,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,44,90,LOAD_GLOBAL,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,44,92,LOAD_CONST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,44,94,LOAD_FAST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,44,96,LOAD_CONST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,44,98,CALL_FUNCTION,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,44,100,GET_ITER,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,44,102,FOR_ITER,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
opcode,,44,104,STORE_FAST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2""}"
line,,45,106,LOAD_GLOBAL,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
opcode,,45,106,LOAD_GLOBAL,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
opcode,,45,108,LOAD_FAST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
opcode,,45,110,LOAD_CONST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
opcode,,45,112,LOAD_CONST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
opcode,,45,114,CALL_FUNCTION_KW,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
opcode,,45,116,POP_TOP,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
opcode,,45,118,JUMP_ABSOLUTE,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
line,,44,102,FOR_ITER,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
opcode,,44,102,FOR_ITER,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
line,,46,120,LOAD_GLOBAL,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
opcode,,46,120,LOAD_GLOBAL,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
opcode,,46,122,LOAD_FAST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
opcode,,46,124,LOAD_FAST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
opcode,,46,126,LOAD_CONST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
opcode,,46,128,BINARY_SUBTRACT,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
opcode,,46,130,LOAD_CONST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
opcode,,46,132,CALL_FUNCTION,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
opcode,,46,134,GET_ITER,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
opcode,,46,136,FOR_ITER,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
opcode,,46,138,STORE_FAST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""1""}"
line,,47,140,LOAD_GLOBAL,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""3""}"
opcode,,47,140,LOAD_GLOBAL,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""3""}"
opcode,,47,142,LOAD_FAST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""3""}"
opcode,,47,144,LOAD_CONST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""3""}"
opcode,,47,146,LOAD_CONST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""3""}"
opcode,,47,148,CALL_FUNCTION_KW,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""3""}"
opcode,,47,150,POP_TOP,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""3""}"
opcode,,47,152,JUMP_ABSOLUTE,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""3""}"
line,,46,136,FOR_ITER,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""3""}"
opcode,,46,136,FOR_ITER,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""3""}"
opcode,,46,138,STORE_FAST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""3""}"
line,,47,140,LOAD_GLOBAL,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""2""}"
opcode,,47,140,LOAD_GLOBAL,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""2""}"
opcode,,47,142,LOAD_FAST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""2""}"
opcode,,47,144,LOAD_CONST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""2""}"
opcode,,47,146,LOAD_CONST,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""2""}"
opcode,,47,148,CALL_FUNCTION_KW,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""2""}"
opcode,,47,150,POP_TOP,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""2""}"
opcode,,47,152,JUMP_ABSOLUTE,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""2""}"
line,,46,136,FOR_ITER,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""2""}"
opcode,,46,136,FOR_ITER,"{""t"": ""3"", ""n"": ""3"", ""k"": ""2"", ""i"": ""2""}"
