event,arg,line,lasti,opcode,localObjects
call,,31,-1,<0>,{}
line,,32,0,LOAD_CONST,{}
opcode,,32,0,LOAD_CONST,{}
opcode,,32,2,LOAD_CONST,{}
opcode,,32,4,IMPORT_NAME,{}
call,,986,-1,<0>,"{""name"": ""numpy"", ""import_"": ""<built-in function __import__>""}"
line,,988,0,LOAD_GLOBAL,"{""name"": ""numpy"", ""import_"": ""<built-in function __import__>""}"
opcode,,988,0,LOAD_GLOBAL,"{""name"": ""numpy"", ""import_"": ""<built-in function __import__>""}"
opcode,,988,2,LOAD_FAST,"{""name"": ""numpy"", ""import_"": ""<built-in function __import__>""}"
opcode,,988,4,CALL_FUNCTION,"{""name"": ""numpy"", ""import_"": ""<built-in function __import__>""}"
call,,143,-1,<0>,"{""self"": ""<_frozen_importlib._ModuleLockManager object at 0x7fdd18080790>"", ""name"": ""numpy""}"
line,,144,0,LOAD_FAST,"{""self"": ""<_frozen_importlib._ModuleLockManager object at 0x7fdd18080790>"", ""name"": ""numpy""}"
opcode,,144,0,LOAD_FAST,"{""self"": ""<_frozen_importlib._ModuleLockManager object at 0x7fdd18080790>"", ""name"": ""numpy""}"
opcode,,144,2,LOAD_FAST,"{""self"": ""<_frozen_importlib._ModuleLockManager object at 0x7fdd18080790>"", ""name"": ""numpy""}"
opcode,,144,4,STORE_ATTR,"{""self"": ""<_frozen_importlib._ModuleLockManager object at 0x7fdd18080790>"", ""name"": ""numpy""}"
line,,145,6,LOAD_CONST,"{""self"": ""<_frozen_importlib._ModuleLockManager object at 0x7fdd18080790>"", ""name"": ""numpy""}"
opcode,,145,6,LOAD_CONST,"{""self"": ""<_frozen_importlib._ModuleLockManager object at 0x7fdd18080790>"", ""name"": ""numpy""}"
opcode,,145,8,LOAD_FAST,"{""self"": ""<_frozen_importlib._ModuleLockManager object at 0x7fdd18080790>"", ""name"": ""numpy""}"
opcode,,145,10,STORE_ATTR,"{""self"": ""<_frozen_importlib._ModuleLockManager object at 0x7fdd18080790>"", ""name"": ""numpy""}"
opcode,,145,12,LOAD_CONST,"{""self"": ""<_frozen_importlib._ModuleLockManager object at 0x7fdd18080790>"", ""name"": ""numpy""}"
opcode,,145,14,RETURN_VALUE,"{""self"": ""<_frozen_importlib._ModuleLockManager object at 0x7fdd18080790>"", ""name"": ""numpy""}"
return,,145,14,RETURN_VALUE,"{""self"": ""<_frozen_importlib._ModuleLockManager object at 0x7fdd18080790>"", ""name"": ""numpy""}"
opcode,,988,6,SETUP_WITH,"{""name"": ""numpy"", ""import_"": ""<built-in function __import__>""}"
call,,147,-1,<0>,"{""self"": ""<_frozen_importlib._ModuleLockManager object at 0x7fdd18080790>""}"
line,,148,0,LOAD_GLOBAL,"{""self"": ""<_frozen_importlib._ModuleLockManager object at 0x7fdd18080790>""}"
opcode,,148,0,LOAD_GLOBAL,"{""self"": ""<_frozen_importlib._ModuleLockManager object at 0x7fdd18080790>""}"
opcode,,148,2,LOAD_FAST,"{""self"": ""<_frozen_importlib._ModuleLockManager object at 0x7fdd18080790>""}"
opcode,,148,4,LOAD_ATTR,"{""self"": ""<_frozen_importlib._ModuleLockManager object at 0x7fdd18080790>""}"
opcode,,148,6,CALL_FUNCTION,"{""self"": ""<_frozen_importlib._ModuleLockManager object at 0x7fdd18080790>""}"
call,,157,-1,<0>,"{""name"": ""numpy""}"
line,,163,0,LOAD_GLOBAL,"{""name"": ""numpy""}"
opcode,,163,0,LOAD_GLOBAL,"{""name"": ""numpy""}"
opcode,,163,2,LOAD_METHOD,"{""name"": ""numpy""}"
opcode,,163,4,CALL_METHOD,"{""name"": ""numpy""}"
opcode,,163,6,POP_TOP,"{""name"": ""numpy""}"
line,,164,8,SETUP_FINALLY,"{""name"": ""numpy""}"
opcode,,164,8,SETUP_FINALLY,"{""name"": ""numpy""}"
line,,165,10,SETUP_FINALLY,"{""name"": ""numpy""}"
opcode,,165,10,SETUP_FINALLY,"{""name"": ""numpy""}"
line,,166,12,LOAD_GLOBAL,"{""name"": ""numpy""}"
opcode,,166,12,LOAD_GLOBAL,"{""name"": ""numpy""}"
opcode,,166,14,LOAD_FAST,"{""name"": ""numpy""}"
opcode,,166,16,BINARY_SUBSCR,"{""name"": ""numpy""}"
exception,"(<class 'KeyError'>, KeyError('numpy'), <traceback object at 0x7fdce803a780>)",166,16,BINARY_SUBSCR,"{""name"": ""numpy""}"
line,,167,26,DUP_TOP,"{""name"": ""numpy""}"
opcode,,167,26,DUP_TOP,"{""name"": ""numpy""}"
opcode,,167,28,LOAD_GLOBAL,"{""name"": ""numpy""}"
opcode,,167,30,COMPARE_OP,"{""name"": ""numpy""}"
opcode,,167,32,POP_JUMP_IF_FALSE,"{""name"": ""numpy""}"
opcode,,167,34,POP_TOP,"{""name"": ""numpy""}"
opcode,,167,36,POP_TOP,"{""name"": ""numpy""}"
opcode,,167,38,POP_TOP,"{""name"": ""numpy""}"
