event,arg,line,lasti,opcode,localObjects
call,,31,-1,<0>,{}
line,,33,0,LOAD_GLOBAL,{}
opcode,,33,0,LOAD_GLOBAL,{}
opcode,,33,2,LOAD_GLOBAL,{}
opcode,,33,4,LOAD_GLOBAL,{}
opcode,,33,6,CALL_FUNCTION,{}
opcode,,33,8,CALL_FUNCTION,{}
opcode,,33,10,CALL_FUNCTION,{}
opcode,,33,12,GET_ITER,{}
opcode,,33,14,FOR_ITER,{}
opcode,,33,16,STORE_FAST,{}
line,,34,18,LOAD_GLOBAL,"{""_"": ""0""}"
opcode,,34,18,LOAD_GLOBAL,"{""_"": ""0""}"
opcode,,34,20,LOAD_GLOBAL,"{""_"": ""0""}"
opcode,,34,22,LOAD_GLOBAL,"{""_"": ""0""}"
opcode,,34,24,CALL_FUNCTION,"{""_"": ""0""}"
opcode,,34,26,LOAD_METHOD,"{""_"": ""0""}"
opcode,,34,28,CALL_METHOD,"{""_"": ""0""}"
opcode,,34,30,CALL_FUNCTION,"{""_"": ""0""}"
opcode,,34,32,UNPACK_SEQUENCE,"{""_"": ""0""}"
opcode,,34,34,STORE_FAST,"{""_"": ""0""}"
opcode,,34,36,STORE_FAST,"{""_"": ""0"", ""a"": ""1""}"
line,,35,38,BUILD_LIST,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
opcode,,35,38,BUILD_LIST,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
opcode,,35,40,STORE_FAST,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1""}"
line,,36,42,LOAD_FAST,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,36,42,LOAD_FAST,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,36,44,LOAD_CONST,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,36,46,COMPARE_OP,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,36,48,POP_JUMP_IF_FALSE,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
line,,37,50,LOAD_FAST,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,37,50,LOAD_FAST,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,37,52,LOAD_CONST,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,37,54,COMPARE_OP,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,37,56,POP_JUMP_IF_FALSE,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
line,,38,58,LOAD_GLOBAL,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,38,58,LOAD_GLOBAL,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,38,60,LOAD_CONST,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,38,62,CALL_FUNCTION,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,38,64,POP_TOP,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,38,66,JUMP_ABSOLUTE,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
line,,33,14,FOR_ITER,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,33,14,FOR_ITER,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,33,16,STORE_FAST,"{""_"": ""0"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
line,,34,18,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,34,18,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,34,20,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,34,22,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,34,24,CALL_FUNCTION,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,34,26,LOAD_METHOD,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,34,28,CALL_METHOD,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,34,30,CALL_FUNCTION,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,34,32,UNPACK_SEQUENCE,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,34,34,STORE_FAST,"{""_"": ""1"", ""a"": ""1"", ""b"": ""1"", ""li"": ""[]""}"
opcode,,34,36,STORE_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""1"", ""li"": ""[]""}"
line,,35,38,BUILD_LIST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
opcode,,35,38,BUILD_LIST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
opcode,,35,40,STORE_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
line,,36,42,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
opcode,,36,42,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
opcode,,36,44,LOAD_CONST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
opcode,,36,46,COMPARE_OP,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
opcode,,36,48,POP_JUMP_IF_FALSE,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
line,,43,78,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
opcode,,43,78,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
opcode,,43,80,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
opcode,,43,82,COMPARE_OP,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
opcode,,43,84,POP_JUMP_IF_FALSE,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
line,,46,96,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
opcode,,46,96,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
opcode,,46,98,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
opcode,,46,100,CALL_FUNCTION,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
opcode,,46,102,GET_ITER,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
opcode,,46,104,FOR_ITER,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
opcode,,46,106,STORE_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]""}"
line,,47,108,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]"", ""i"": ""0""}"
opcode,,47,108,LOAD_GLOBAL,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]"", ""i"": ""0""}"
opcode,,47,110,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]"", ""i"": ""0""}"
opcode,,47,112,CALL_FUNCTION,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]"", ""i"": ""0""}"
opcode,,47,114,LOAD_FAST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]"", ""i"": ""0""}"
opcode,,47,116,LOAD_CONST,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]"", ""i"": ""0""}"
opcode,,47,118,BINARY_SUBTRACT,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]"", ""i"": ""0""}"
opcode,,47,120,COMPARE_OP,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]"", ""i"": ""0""}"
opcode,,47,122,POP_JUMP_IF_FALSE,"{""_"": ""1"", ""a"": ""3"", ""b"": ""2"", ""li"": ""[]"", ""i"": ""0""}"
